IP 地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）
162.159.128.189,4,4,0,137.64,34.12
162.159.129.120,4,4,0,144.14,33.72
162.159.136.28,4,4,0,144.31,33.62
172.67.74.192,4,4,0,135.28,33.49
162.159.128.0,4,4,0,143.96,32.95
162.159.137.218,4,4,0,142.05,32.73
172.67.64.0,4,4,0,136.33,32.55
162.159.152.0,4,4,0,145.2,32.19
172.67.77.23,4,4,0,139.91,28.76
162.159.153.122,4,4,0,142.45,25.79
172.67.76.152,4,4,0,137.28,25.58
172.67.79.31,4,4,0,141.12,23.22
162.159.140.34,4,4,0,143.07,22.64
162.159.135.252,4,4,0,145.49,20.39
104.26.0.0,4,4,0,136.54,6.13
162.159.140.99,4,4,0,140.99,4.96
172.67.73.32,4,4,0,135.51,4.51
162.159.133.64,4,4,0,143.44,4.28
162.159.152.55,4,4,0,133.44,3.21
172.67.67.137,4,4,0,141.92,2.21
162.159.138.77,4,4,0,137.18,1.79
